GeneID	GSM1885080	GSM1885081	GSM1885082	GSM1885085	GSM1885086	GSM1885087	GSM1885088	GSM1885089	GSM1885090	GSM1885094	GSM1885095	GSM1885096
100287102	5	12	6	4	13	6	4	11	9	13	11	5
653635	187	365	229	284	459	286	301	253	295	326	442	251
102466751	8	18	10	15	14	13	7	11	30	12	22	8
107985730	3	0	3	2	3	3	2	7	2	2	1	2
100302278	0	0	0	1	0	0	0	1	0	0	1	0
645520	0	0	0	1	1	0	1	3	3	1	1	1
79501	0	0	0	0	0	0	0	2	0	0	0	0
100996442	150	118	103	270	147	123	119	82	183	134	278	145
729737	70	167	73	50	40	53	40	38	128	87	86	81
102725121	9	13	10	3	9	8	4	9	10	12	12	9
102723897	219	562	247	341	439	326	243	209	424	383	542	278
102465909	4	11	7	9	9	5	6	4	11	8	15	10
107985721	10	1	9	6	12	6	10	9	6	6	15	9
112268260	75	48	84	116	99	49	164	59	32	88	154	86
729759	8	0	5	7	7	4	5	5	4	3	6	4
100132287	79	172	115	51	74	78	39	32	133	100	95	77
105378947	13	8	10	7	13	3	10	4	4	7	15	14
101928626	3	1	3	2	2	0	1	2	0	0	2	1
113219467	463	930	1029	683	514	672	1643	1216	661	658	1257	294
81399	60	19	44	65	87	40	85	73	44	36	80	38
100133331	81	205	110	48	66	71	41	32	119	93	81	75
107984841	50	27	51	42	40	46	37	20	68	50	43	33
107984847	62	83	93	34	74	40	46	52	67	81	67	43
107984849	27	11	14	7	12	13	10	15	16	15	18	13
100288069	135	136	105	182	148	128	121	113	208	139	166	105
105378580	269	51	203	314	324	287	208	221	268	247	311	155
400728	58	41	48	48	75	48	45	35	69	55	56	28
79854	40	26	29	63	60	42	42	33	44	43	58	24
643837	710	236	623	879	1318	926	765	632	848	741	1348	572
107984850	7	7	11	11	9	3	6	4	26	6	12	19
284593	22	8	11	20	13	11	10	13	35	8	26	13
284600	6	4	4	9	12	7	7	3	10	4	11	6
100130417	5	3	3	7	10	8	6	9	8	14	17	7
107985728	8	14	10	25	6	9	14	7	16	12	20	16
148398	69	47	41	145	110	77	72	53	133	82	146	77
26155	538	435	438	936	1297	753	602	521	744	765	1216	439
339451	66	73	81	126	111	51	56	36	163	64	140	133
84069	4	2	0	9	0	1	12	3	6	3	5	2
84808	3	2	0	8	0	2	1	2	3	4	2	1
57801	59	107	75	224	169	87	61	74	83	132	149	57
9636	43	32	44	4747	171	93	42	45	96	157	107	75
375790	616	1715	1088	1349	1880	1216	720	613	1085	1845	1425	1250
100288175	11	8	12	20	28	26	9	19	21	17	33	10
112267874	6	8	4	6	5	10	8	8	7	6	5	5
105378948	13	18	15	27	34	19	14	15	19	19	25	12
401934	1	2	0	1	0	1	1	1	2	1	0	0
54991	121	105	138	96	142	114	78	87	97	197	175	117
254099	0	1	0	0	0	0	1	0	0	0	0	0
406984	0	0	0	0	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0	0	0	0	0	0
100506376	0	0	0	0	2	1	0	0	0	0	0	0
254173	0	0	0	1	1	1	1	1	0	0	0	0
8784	4	7	2	39	16	12	8	2	3	7	16	9
7293	14	8	11	13	13	23	3	4	13	14	20	8
51150	639	1049	752	1065	1200	807	536	486	713	921	1184	656
126792	175	162	162	287	420	272	154	168	216	277	336	162
388581	8	22	8	11	14	18	11	9	8	11	9	10
118424	287	223	296	488	601	338	248	288	370	430	584	308
101928895	43	117	92	75	157	98	64	69	81	156	151	106
6339	100	261	224	158	355	217	162	102	214	275	306	241
116983	1552	3574	2238	2200	3363	2008	1421	1235	2390	2773	3241	2588
102465434	0	1	1	1	2	1	1	1	2	2	1	2
109623456	12	23	23	26	37	22	11	14	26	24	41	28
126789	83	70	81	132	178	81	72	67	108	120	180	101
54973	591	994	662	933	1247	761	564	442	873	950	1321	711
102465435	2	7	7	4	3	3	2	2	9	4	9	3
80772	144	130	187	238	307	195	135	132	200	272	342	179
83756	38	39	32	54	73	36	30	31	64	65	76	59
1855	850	831	984	1486	1994	1308	803	734	1402	1533	2132	1190
102466740	0	1	1	1	1	0	0	0	2	0	1	1
54587	194	302	320	341	317	264	121	144	216	394	283	192
54998	384	151	286	632	708	500	287	285	426	558	741	344
81669	1616	1853	1417	1932	2395	1659	1636	1569	1778	2139	2565	1660
148413	200	93	129	277	357	237	193	159	219	232	297	152
55052	347	104	255	600	642	443	386	301	377	454	563	259
107984868	36	11	28	44	12	17	20	7	85	35	36	52
441869	213	129	132	164	64	134	132	104	183	290	173	138
105378585	17	24	14	12	8	15	15	11	12	40	9	10
643965	105	155	44	25	83	57	87	66	143	136	91	66
102724312	128	65	56	30	119	72	98	85	137	138	88	72
107985729	3	15	8	12	9	12	11	8	11	12	12	7
64856	586	506	311	682	893	478	633	496	886	1335	1085	629
219293	42	43	33	37	20	24	25	20	88	81	83	27
83858	264	524	386	405	488	317	269	254	384	396	605	330
55210	191	246	197	262	341	232	163	143	281	271	420	222
339453	79	61	79	139	138	101	74	57	120	123	148	93
29101	615	255	494	1130	1251	805	601	566	851	727	1277	554
643988	107	104	135	154	189	164	87	84	134	166	186	106
105378586	25	38	36	31	44	46	31	37	25	42	43	21
142678	791	1096	1060	1257	1644	1144	814	849	1152	1452	1870	1105
8510	19	27	26	25	38	22	10	19	34	29	38	30
984	345	600	395	462	626	485	310	346	460	578	599	312
728661	1449	871	1336	2387	2392	2629	1487	1345	2333	2228	2337	1673
8511	2	12	8	11	11	13	5	5	6	8	6	6
728642	271	571	274	303	400	297	219	206	289	342	391	154
9906	1468	541	1463	1619	1640	1451	903	920	1312	1496	2342	813
112268218	49	29	45	81	81	58	38	40	62	58	108	33
65220	359	298	357	644	650	438	358	305	562	510	813	405
2782	5678	1105	4710	9708	11697	7333	5859	6044	6818	6562	11011	4270
105378949	12	43	26	30	43	13	20	21	31	26	35	36
163688	7	8	11	7	21	13	5	13	10	7	18	10
339456	3	2	8	9	4	4	4	5	9	9	7	6
