"gene_symbol","gene_id","padj","log2FoldChange","STRING_id"
"EDA2R","60401",0.0122281262899987,-1.3001708288068,"9606.ENSP00000379365"
"CX3CR1","1524",0.20126604689834,-0.90778019682311,"9606.ENSP00000351059"
"MUC16","94025",0.20126604689834,3.74339915354843,"9606.ENSP00000381008"
"CNTN3","5067",0.213962096610815,0.379231036255657,"9606.ENSP00000263665"
"SORBS2","8470",0.213962096610815,0.309248399392395,"9606.ENSP00000347852"
"CA11","770",0.213962096610815,0.470360522113692,"9606.ENSP00000084798"
"CLEC9A","283420",0.291648819912009,-1.42417368744739,"9606.ENSP00000348074"
"SAA2","6289",0.617481244947849,2.28213518804345,"9606.ENSP00000436126"
"C1QTNF4","114900",0.617481244947849,0.474882470753244,"9606.ENSP00000302274"
"OLR1","4973",0.661511293309245,-1.12373067322779,"9606.ENSP00000309124"
"SEPTIN10","151011",0.813125086273095,-0.493656578639368,"9606.ENSP00000349116"
"GAPT","202309",0.97682894290723,-1.74078761032415,"9606.ENSP00000379997"
"ARSI","340075",0.97682894290723,-1.02404064795135,"9606.ENSP00000333395"
"A1CF","29974",0.97682894290723,0.957065110802522,"9606.ENSP00000378868"
"OR4F16","81399",0.999874888188067,-0.119728686255443,"9606.ENSP00000329982"
"SAMD11","148398",0.999874888188067,-0.0561985570144464,"9606.ENSP00000342313"
"NOC2L","26155",0.999874888188067,0.224493180564762,"9606.ENSP00000317992"
"KLHL17","339451",0.999874888188067,0.0435250699195057,"9606.ENSP00000343930"
